i_in,x,y
0,0,0
1,0,1.6
2,0.064,2.96
3,0.1728,4.113440000000001
4,0.31141760000000007,5.089512000000001
5,0.46828544000000005,5.913628496000001
6,0.63458776384,6.607852804000002
7,0.803713711424,7.191291372846402
8,0.9708083096242561,7.680449118462482
9,1.1324050279191171,8.08954941830814
10,1.286126250463575,8.430820804445155
11,1.430440145071845,8.714752633759838
12,-1.9797476557631888,3.8462468127936886
13,-1.5289356348869627,4.948499697105163
14,-1.1016553017697117,5.867382167934867
15,-0.7017117197868602,6.631341054815426
16,1.9620322533163486,1.8490768060111185
17,1.741690487559341,3.0932339949767966
18,1.6041662742245117,4.159581276227904
19,-0.7606578769743526,2.8840661238417766
20,-0.5311965504745286,4.081882520344484
21,-0.28824176708956994,5.090848004311793
22,-0.041371581853662714,5.938750474348607
23,0.20238417439833098,6.649592766470462
24,0.4380102588973998,7.2440584845239595
25,0.6620710594437482,7.73992930148947
26,0.8723575725867648,8.1524570638883
27,1.067602219254282,8.494694201401584
28,1.2472496544222031,8.777785982421175
29,2.270692626914599,2.870953545930855
30,2.044926874714643,3.949482808964643
31,1.8961671558660325,4.875263312631361
32,1.806752614991382,5.668127129502016
33,1.7624648079227552,6.3456379554770574
34,1.7519206049534242,6.923293669838589
35,1.766064261003954,7.414722795164664
36,1.7977435336599474,7.831871805449806
37,1.8413568758289476,8.185181293285936
38,1.8925605961860428,8.483749824259888
39,1.948026499728532,8.735484926773463
40,2.0052419218401907,8.947241127768303
41,-1.9252343088517208,4.0295986901322705
42,-1.4752652149186718,5.102168258966499
43,-1.049888702322211,5.995853628718271
44,-0.6525712518251485,6.738471132503419
45,-0.2851467187512395,7.3538033127009115
46,0.051777421569482895,7.862138684545824
47,0,1.257942189527332
48,0.05031768758109328,2.669250861098232
49,0.1495400688878586,3.866850524430254
50,0.28178307953188997,4.880841343010202
51,0.4347492713225145,5.737443818377397
52,0.5990346333592331,6.459437274767886
53,0.7675569293460636,7.066560298218333
54,0.9350858018728874,7.57587397631174
55,1.0978578906444239,8.002089447790064
56,2.0759063617845546,2.6459445190371658
57,1.8703581882783578,3.766016586710209
58,1.7404451235050125,4.726299771172544
59,1.6684303458261622,5.547737000556462
60,1.6400752739744964,6.248839236639947
61,1.6440175523439198,6.845910340184975
62,-1.4511331779793095,3.4842243118797964
63,1.1932527840232394,0.8989192085765305
64,1.0502216347628148,2.3163512159291217
65,0.9853424381855574,3.526889668149241
66,0.9786166591836934,4.558442520399433
67,1.0141618611221168,5.43553147597217
68,1.0794588409926862,6.1796352801314605
69,1.1647254260490416,6.809511634472035
70,1.2623970775205668,7.341495872259268
71,1.3666973507828526,7.789775608319555
72,1.4732837724982069,8.166641373040308
73,1.578956861545088,8.482713816184333
74,1.681421884960698,8.74714846929488
75,1.7790945409883885,8.96781932350222
76,1.8709431327802188,9.151482643337351
77,1.95636096859668,9.30392252152554
78,2.0350637241681997,9.43007970455284
79,2.1070073537250833,9.534165199903187
80,2.172322858662448,9.619760125768705
81,2.231264834893829,9.689903192556901
82,2.2841712373620306,9.747167120277611
83,2.3314322365688307,9.793725202741488
84,2.3734664091931656,9.83140913286751
85,2.410702813128891,9.861759106569655
86,2.4435677554223436,9.886067128059052
87,0,1.5817707404894483
88,0.06327082961957793,2.944505129416031
89,0.17156041035328248,4.100298526818843
90,0.30983828987304385,5.078391331381885
91,0.4664981996473627,5.90423910007968
92,0.6326930337034455,6.599943307081833
93,0.8017868109312021,7.184644089671421
94,0.9689045528783786,7.67487600378346
95,1.13056391009796,8.084888421100807
96,1.2843748604272984,8.426932601531767
97,1.4287959354244744,8.711517716884911
98,1.5629372537861999,8.947638221935195
99,1.6864021945956775,9.142974998493468
100,1.7991608653460647,9.30407266093562
101,-2.0592267187740485,4.060702984435432
102,-1.587914591580524,5.133966605521079
103,-1.6524142357515852,2.3642522971511166
104,-0.9451884444096074,1.7400802311503811
105,-0.733806968502151,3.116875734254208
106,-0.49906089385666,4.278696652856162
107,-1.2122733085139341,2.426529258041324
108,-0.933371141915191,3.7110408016756824
109,-0.644923838560885,4.791719527100938
110,-1.3748318447584207,2.505845813093203
111,-1.0683732355209294,3.784962214919559
112,-0.7567187615960076,4.859952812102462
113,-0.44881283487250795,5.761228640750932
114,-0.15104176401159444,6.514996858033193
115,0.13221437491147242,7.143788999888677
116,0.39813377867029864,7.666932074908917
117,0.6450909948661105,8.100966912525767
118,0.8723660221372246,8.460018235852257
119,2.2379502027180482,2.69721954236022
120,2.01014645400475,3.803118602897465
121,1.860749230019936,4.752244954302656
122,1.7717266436890518,5.56497824195646
123,1.2924349111944513,2.236243705428704
124,1.1880194227324317,3.4491097531666206
125,0.7875478174767891,1.576671390670421
126,0.7324825004820875,2.9086687693707862
127,0.7389568761846058,4.0430691539458845
128,0.7898361109147503,5.0070505058066175
129,0.8716427145098025,5.824399485499034
130,0.9738722867532935,6.515873854093787
131,1.088426397904051,7.099537884509587
132,-1.6281945703916825,3.4122364061100408
133,-1.2474759285885284,4.565528728009202
134,-0.8777333901798811,5.530598455951363
135,-0.5248494434148443,6.336118023165854
136,-0.19267730597598348,7.00669429742757
137,0.11649206181751687,7.5633972450524745
138,0.40155414234698833,8.024227975821903
139,0.6622901400278162,8.404531613754738
140,0.8991278835738332,8.717360266090415
141,1.112953111681375,8.973791110833899
142,1.3049617893625247,9.18320431974156
143,1.4765456937478085,9.353525200205825
144,1.6292048476938703,9.491434592425039
145,1.7644815042367914,9.602551209653527
146,1.8839113269874137,9.691589268036024
147,1.9889881986607425,9.762494424751123
148,-2.1404509107031435,4.205216059137218
149,-1.6511746317321832,5.26005168669476
150,-1.193096369504565,6.137090918959833
151,-1.8342629128304697,2.6757478371851136
152,-1.4520935624184945,3.947756178120565
